first_name,last_name,npi_x,street,street_2,city,state,zip,lat,lon,npi_y
marshall,cole,18233577393219566041,59944 adaline harbor,apt 862,keelingstad,al,94189,-84.7669879597025,134.0653096213187,18233577393219566041
lawson,lilliana,78792788275411915642,36175 amina mount,apt 256,north daija,de,30997,-5.6687886642665575,-78.53360129963642,78792788275411915642
martine,kiana,23583155472740817761,188 walsh flat,apt 891,yasmeenstad,nv,83568,-31.584772592655966,-136.74090970869585,23583155472740817761
leatha,freida,,43796 gutmann plains,suite 341,vonmouth,fl,10500,-6.402448581828892,-154.89939555160782,33162918725434354575
granville,benton,17871640342222098849,95496 dare rue,suite 203,octaviastad,il,45294,46.184575751643024,86.26226978060578,17871640342222098849
brenda,lenna,88137148807320232511,361 justyn meadow,suite 635,steuberhaven,la,71148,-74.74155611941049,-138.5434541219899,88137148807320232511
juliana,benedict,,798 katarina street,apt 817,north florida,ri,10547,22.359079896319514,-30.45701913361046,53893064485360651832
marjory,ulices,13251241236387155567,5356 hane mountains,suite 254,elmiraborough,ny,80179,8.309836900564747,148.35777430217814,13251241236387155567
isabelle,nils,41196810585374325420,590 cummings union,apt 390,daphneeburgh,in,56970,-11.103511039333924,74.28069610193555,41196810585374325420
johnnie,johnathon,,541 nora hill,apt 833,south erwinborough,ut,24212,11.104968706797337,-179.33070042145633,66784257725381439573
madaline,shirley,34629375530320352466,62088 krajcik summit,apt 534,kundechester,wa,30826,49.427624140076205,-0.45901344076389705,34629375530320352466
khalid,crystel,82216555626836774716,89133 schoen ferry,apt 830,richieland,sc,73060,-32.94654374463235,6.933638893781762,82216555626836774716
audra,imogene,,9228 rodriguez knolls,apt 544,jonesside,in,20864,-45.90047017354284,-117.34192734426404,25110155538327385614
montana,dominic,48581605458856137841,622 reggie inlet,apt 456,wunschhaven,co,73178,82.7630628139039,-98.39945620453962,48581605458856137841
justice,jessy,55734468672668247847,75693 eliseo burgs,suite 102,wittingstad,hi,77848,49.01922608414009,-90.43597597941174,55734468672668247847
maryjane,sasha,53273831484766113262,8210 romaguera ridges,apt 807,asiastad,id,41761,89.95974362175917,67.51869600984747,53273831484766113262
deborah,jolie,72248738248131276601,2744 kirsten plaza,suite 148,zionburgh,tx,80760,59.431041505761954,142.33677657103948,72248738248131276601
marjory,harley,85666817362462284195,3238 freeman trail,suite 472,schustermouth,hi,66696,16.263573807407937,129.6366384464663,85666817362462284195
zita,yasmin,57219924682871422273,2521 runolfsdottir station,apt 283,east annetteville,md,62342,-87.54188440097968,5.812191905850568,57219924682871422273
victoria,kaleb,,79341 destin springs,apt 561,port norbertohaven,la,74019,-5.9719782588561685,157.7276512899797,36114842523869013427
nella,sheridan,63158792827720528132,4326 nitzsche plaza,apt 445,west luther,nh,31477,13.635211268926753,18.421036952011093,63158792827720528132
eden,maximillian,66677748434428271659,5148 deshaun meadow,suite 674,aylatown,vt,27166,35.525539945739354,12.586231571374327,66677748434428271659
erling,ellsworth,,72949 wyman valley,suite 721,shanahanton,mn,41462,-87.43227146325152,165.57051180896661,32879230815626627623
marguerite,johnathan,72647478424316582314,40437 elissa walks,suite 289,south mylenebury,mn,18861,70.97494473527374,52.84233833584284,72647478424316582314
cordell,delilah,63341530432779774187,877 joel landing,apt 119,leannonton,tx,80531,67.61508896993672,-58.70744573718571,63341530432779774187
floyd,toney,,133 kris corners,apt 662,lake deon,ut,53630,53.37270992451789,32.03898190840144,91949596840495381017
julio,ervin,37617227435263241609,850 gilberto ranch,apt 720,hauckhaven,ut,16619,74.02839248126236,60.69906177057871,37617227435263241609
bonnie,jocelyn,14388543317747444652,79667 ceasar garden,apt 622,carmelfurt,wy,12154,61.2875063489671,-68.2945664156822,14388543317747444652
destiney,wilson,,191 jacobs mill,apt 525,port sallie,oh,23631,-50.97901038657312,-79.03255916689368,08844081569434332443
freddy,sally,38054671934598967067,649 arvid spring,apt 556,annabellbury,oh,14846,-61.32042067783425,-141.0449005116506,38054671934598967067
sincere,tyree,25045835161649311226,77158 pietro knoll,suite 859,pacochaville,ut,21029,43.62050774081038,106.12882696874078,25045835161649311226
dylan,shanna,11536413225685215221,976 steuber river,apt 277,south alexandrineborough,oh,23124,-68.33501619552905,-3.7079795041314014,11536413225685215221
camylle,haven,86449066566138275081,86962 alicia vista,apt 940,east alexa,ne,50237,-61.8123233016683,141.60164935754494,86449066566138275081
aniya,winona,22458821718494920822,380 koch plain,apt 566,lake reaganland,ar,26415,-34.4357243305887,-115.57053402577449,22458821718494920822
sallie,laury,42861514701526485171,72266 stehr extensions,apt 838,south johnathanborough,tn,85550,60.85980854673343,64.65826012363783,42861514701526485171
edgar,deven,,5645 earlene coves,apt 744,muhammadberg,wi,50548,-65.38102717055708,101.34449287429027,55715681416351177349
celestine,gino,89301843886312857436,7051 kenyon harbor,apt 220,cummeratabury,hi,92822,2.990033181806922,48.822644471673044,89301843886312857436
arjun,toy,28461179283256435803,814 mable oval,suite 993,efrainchester,tx,44083,69.65999693439676,0.7569942566792918,28461179283256435803
dewitt,madisen,,7453 kuhn flat,apt 932,klingville,nh,35939,24.749665449813875,15.210037963306547,41211510995852842574
elian,carson,93874937325431230774,834 mayert radial,suite 298,lake jasperfort,ar,23508,13.974640960799718,-34.43503241131353,93874937325431230774
pearl,bette,46052455054442131062,7505 gillian creek,apt 677,lincolnville,mt,83977,-5.294221350576663,109.1238307676856,46052455054442131062
kenneth,tracy,,323 boyle roads,suite 504,lake zechariahburgh,or,73432,-47.8612858416344,131.6722496335119,89517643864639883494
ressie,rodolfo,57433838586295207769,5952 hammes mission,apt 789,blanchetown,ne,26332,-28.137432139808453,-15.519314300595852,57433838586295207769
emiliano,noemy,42810376138145286113,8122 jaycee meadow,suite 311,new orpha,hi,14266,86.4118996882332,70.13469527647351,42810376138145286113
koby,kaley,,188 wilfredo lights,apt 776,runolfsdottirton,sc,76728,-37.429516359841486,-0.7535787774122582,13216232982735434837
camilla,maximilian,93946868026743742177,1485 hyatt lake,suite 588,evangelinemouth,nc,90536,-69.58760913158008,-174.06046836060284,93946868026743742177
helga,sid,59008745426727683945,1768 quitzon track,apt 545,aleenmouth,oh,77448,-27.241533163088363,117.60585521552014,59008745426727683945
arielle,sophie,13138874118233603261,229 freddy ports,apt 468,erdmanborough,ne,99314,21.183977515239263,164.2872875241069,13138874118233603261
tyra,porter,34881481881152277357,1934 rigoberto green,suite 904,lake emeryshire,nc,75060,41.40407947474375,-59.783429314468094,34881481881152277357
